date,open,high,low,close,volume
2024-06-18,12381.8,12594.8,12311.2,12500.0,1872800
2024-06-19,12759.6,12812.0,12592.0,12698.1,562500
2024-06-20,12593.8,12769.0,12504.1,12628.5,778600
2024-06-21,12530.7,12560.7,12398.7,12424.5,1105600
2024-06-24,12428.6,12514.2,12320.1,12465.4,1565600
2024-06-25,12635.1,12774.6,12495.4,12582.0,426800
2024-06-26,12772.1,12909.5,12750.6,12784.4,1212100
2024-06-27,13021.9,13044.1,12949.6,13021.4,1724500
2024-06-28,13391.7,13492.1,13180.5,13317.6,1369500
2024-07-01,13486.0,13654.8,13453.1,13516.5,478800
2024-07-02,13581.7,13741.1,13492.2,13543.3,1485700
2024-07-03,13683.0,13814.7,13568.5,13578.3,1775500
2024-07-04,13601.8,13687.4,13518.9,13524.7,1104800
2024-07-05,13798.8,14006.5,13786.5,13920.7,1245300
2024-07-08,14212.8,14293.3,14086.8,14185.5,1499700
2024-07-09,13700.0,13851.6,13560.2,13691.0,1469900
2024-07-10,13540.6,13691.6,13396.1,13641.9,745800
2024-07-11,13692.0,13793.9,13533.6,13623.2,694200
2024-07-12,13423.7,13562.3,13326.0,13544.2,1528500
2024-07-15,14107.0,14254.0,13955.9,14051.4,1139700
2024-07-16,14277.9,14432.5,14035.5,14203.4,945100
2024-07-17,14417.5,14529.5,14324.5,14353.4,1326300
2024-07-18,14730.4,14941.4,14663.1,14764.9,922500
2024-07-19,15051.8,15116.2,15046.9,15111.6,682100
2024-07-22,14759.9,14928.6,14674.9,14828.6,1690700
2024-07-23,14695.6,14889.3,14571.8,14745.0,1127500
2024-07-24,14623.9,14755.5,14599.8,14664.0,1239100
2024-07-25,14200.3,14385.3,14128.9,14305.4,403000
2024-07-26,14304.3,14435.7,14049.3,14201.5,1436500
2024-07-29,14387.4,14555.8,14243.8,14468.7,882100
2024-07-30,14359.1,14423.7,14220.6,14269.8,1600700
2024-07-31,14203.5,14299.5,14095.4,14107.8,1692400
2024-08-01,14410.7,14581.4,14322.4,14422.0,1676900
2024-08-02,14418.0,14549.5,14193.8,14321.9,1178300
2024-08-05,14197.4,14269.1,14145.6,14165.4,1053100
2024-08-06,13791.2,13918.5,13734.0,13892.2,1588500
2024-08-07,13592.4,13752.0,13502.8,13515.5,989100
2024-08-08,13669.1,13756.5,13518.4,13684.9,600900
2024-08-09,13696.6,13842.6,13660.5,13756.2,1573900
2024-08-12,13852.3,13854.0,13796.9,13832.1,1287300
2024-08-13,13573.5,13733.2,13491.0,13651.2,1541500
2024-08-14,13504.1,13639.7,13502.9,13527.7,905700
2024-08-15,13723.7,13872.9,13558.8,13698.0,685300
2024-08-16,13633.3,13673.4,13551.4,13610.9,1832100
2024-08-19,13904.2,13988.8,13676.2,13829.2,923300
2024-08-20,13986.2,14140.8,13845.4,14110.3,1290400
2024-08-21,14145.6,14148.0,14068.0,14115.2,1039300
2024-08-22,14044.2,14265.5,13995.4,14105.1,468500
2024-08-23,13769.5,13879.0,13678.9,13841.6,1208500
2024-08-26,13652.6,13710.2,13627.5,13702.1,1224900
2024-08-27,13570.2,13752.7,13553.1,13603.0,415600
2024-08-28,13507.6,13661.8,13286.7,13399.2,1833400
2024-08-29,13301.9,13396.3,13170.0,13241.2,1579300
2024-08-30,13069.9,13341.5,13041.1,13183.6,1652600
2024-09-02,12819.2,12978.7,12762.2,12872.0,881600
2024-09-03,13016.5,13141.0,12932.4,13032.0,1187700
2024-09-04,13468.0,13613.9,13366.7,13371.4,650800
2024-09-05,13609.7,13707.7,13451.0,13479.9,1544600
2024-09-06,13245.8,13313.8,13106.6,13204.4,1282400
2024-09-09,13192.4,13275.6,13057.7,13255.5,1384600
2024-09-10,13370.8,13461.6,13307.2,13457.6,908300
2024-09-11,13816.8,13970.5,13636.6,13729.0,1556400
2024-09-12,13839.1,14006.1,13770.8,13912.6,849000
2024-09-13,13792.3,13943.4,13643.7,13889.4,1732900
2024-09-16,13821.7,13965.9,13751.9,13754.9,1192500
2024-09-17,13748.0,13772.9,13713.6,13749.9,1341600
2024-09-18,13551.5,13598.4,13439.3,13490.6,1751300
2024-09-19,13718.7,13820.6,13709.8,13803.9,1230800
2024-09-20,13906.8,14044.1,13759.6,13845.2,1020200
2024-09-23,14402.7,14483.4,14234.7,14300.2,940700
2024-09-24,14015.7,14092.5,13909.2,14027.6,1817500
2024-09-25,14380.0,14516.3,14284.2,14341.3,384800
2024-09-26,14339.3,14419.8,14105.9,14229.8,1642900
2024-09-27,14391.3,14550.6,14311.0,14326.8,1042600
2024-09-30,13588.3,13663.3,13563.2,13646.2,922900
2024-10-01,13413.6,13580.4,13306.9,13469.7,1713900
2024-10-02,14088.6,14159.6,14006.1,14010.0,1343200
2024-10-03,13911.5,13983.1,13755.4,13860.8,1632700
2024-10-04,14373.2,14498.4,14263.1,14279.3,394300
2024-10-07,14237.3,14429.3,14145.8,14329.8,1244900
2024-10-08,14247.3,14395.3,14145.2,14217.2,1773200
2024-10-09,14296.4,14444.6,14054.0,14196.6,507100
2024-10-10,14088.2,14287.2,14033.2,14165.6,1801500
2024-10-11,13295.8,13407.1,13139.6,13338.2,817500
2024-10-14,13580.9,13600.5,13551.4,13585.5,1198500
2024-10-15,14047.6,14196.2,13912.3,13974.9,995700
2024-10-16,13578.2,13685.4,13534.5,13640.8,1276800
2024-10-17,13505.9,13513.1,13341.6,13503.1,414500
2024-10-18,13458.2,13600.0,13297.7,13550.4,1775000
2024-10-21,13905.9,13993.5,13870.9,13967.8,892700
2024-10-22,14172.0,14209.5,14071.3,14150.6,1230900
2024-10-23,13940.2,13989.8,13790.1,13917.3,1632300
2024-10-24,13768.5,13871.7,13623.1,13793.6,1001400
2024-10-25,13612.2,13720.5,13452.7,13688.9,1491300
2024-10-28,13723.7,13759.4,13476.9,13622.0,1272800
2024-10-29,13569.4,13691.1,13416.6,13526.7,437000
2024-10-30,13347.6,13499.6,13147.5,13227.8,1480500
2024-10-31,13528.3,13657.1,13406.5,13410.4,531300
2024-11-01,13780.6,14053.4,13770.6,13905.3,879600
2024-11-04,13402.6,13480.9,13380.5,13448.3,1212500
2024-11-05,13504.9,13676.7,13485.0,13575.7,419400
2024-11-06,13883.0,13953.0,13715.9,13881.7,407400
2024-11-07,13798.6,13891.8,13615.6,13736.6,1052300
2024-11-08,13563.0,13692.8,13440.5,13627.6,1484400
2024-11-11,13575.0,13586.4,13489.3,13584.0,951300
2024-11-12,13420.3,13427.1,13376.5,13391.7,1084800
2024-11-13,13549.2,13644.6,13437.6,13497.7,1134800
2024-11-14,13660.3,13874.9,13565.5,13765.2,1213800
2024-11-15,13965.4,14145.9,13812.1,14064.6,1753800
2024-11-18,13896.4,13987.8,13836.6,13837.3,841000
2024-11-19,13952.8,14070.9,13788.8,13829.8,990200
2024-11-20,14429.2,14642.7,14408.8,14477.5,1246700
2024-11-21,14752.7,14800.4,14508.3,14630.6,1076300
2024-11-22,14603.5,14752.2,14550.8,14562.8,1376700
2024-11-25,14811.9,14963.7,14663.2,14722.4,1827200
2024-11-26,14573.5,14678.6,14365.3,14446.2,1259400
2024-11-27,14659.3,14906.6,14550.9,14789.7,1719100
2024-11-28,14835.3,14997.5,14631.2,14792.3,415200
2024-11-29,14583.9,14755.7,14447.1,14630.9,1698100
2024-12-02,14481.7,14527.8,14431.9,14455.0,653000
2024-12-03,14372.0,14493.8,14315.2,14446.5,678000
2024-12-04,14078.5,14228.0,14034.9,14216.6,919500
2024-12-05,13635.7,13825.9,13630.5,13745.1,1615800
2024-12-06,13662.3,13747.7,13498.6,13561.3,436400
2024-12-09,13551.4,13688.9,13452.4,13584.2,1420400
2024-12-10,13225.2,13411.6,13128.4,13282.8,1480600
2024-12-11,13182.9,13263.8,13011.2,13122.3,1084700
